published_at,source,category,title,content,tags,url
05/31/2026 08:19,vietnamnet.vn,the-thao,Lịch thi đấu bóng đá hôm nay 30/5: Chung kết Cúp C1 đá giờ đẹp,"Lịch thi đấu bóng đá hôm nay 30/5/2026 - Cung cấp lịch thi đấu bóng đá trong nước và quốc tế hấp dẫn đêm nay, rạng sáng mai.","",https://vietnamnet.vn/lich-thi-dau-bong-da-hom-nay-30-5-2520693.html
05/31/2026 02:10,vietnamnet.vn,the-thao,Kết quả bóng đá hôm nay 30/5: Chờ chung kết C1 bùng nổ,Kết quả bóng đá hôm nay 30/5/2026 - Cập nhật kết quả các trận đấu bóng đá trong nước và quốc tế diễn ra đêm qua và rạng sáng nay.,"",https://vietnamnet.vn/ket-qua-bong-da-hom-nay-30-5-2520696.html
05/31/2026 06:30,vietnamnet.vn,suc-khoe,"3 loại nước giải nhiệt mùa hè rất tốt, người muốn giảm cân cũng uống được","Mùa hè nắng nóng khiến cơ thể dễ mất nước, mệt mỏi. Tiến sĩ, lương y Phùng Tuấn Giang gợi ý 3 thức uống giải nhiệt hiệu quả, thơm ngon và rất an toàn cho cả người đang giảm cân.","",https://vietnamnet.vn/3-loai-nuoc-giai-nhiet-mua-he-rat-tot-nguoi-muon-giam-can-cung-uong-duoc-2521007.html
05/31/2026 05:15,vietnamnet.vn,suc-khoe,"Từ cơn đau vai gáy tưởng vô hại, cô gái 22 tuổi gặp biến cố 5 lần mổ não","Ở tuổi 26, chị Đinh Thị Lợi đã trải qua 5 cuộc mổ não, nhiều lần đối diện biến chứng nhiễm trùng nhưng vẫn không cho phép bản thân gục ngã vì nghĩ đến gia đình và tương lai còn dang dở phía trước.","",https://vietnamnet.vn/tu-con-dau-vai-gay-tuong-vo-hai-co-gai-22-tuoi-gap-bien-co-5-lan-mo-nao-2520564.html
05/31/2026 07:17,vietnamnet.vn,bat-dong-san,‘Cắt góc’ cao ốc sát sông Tô Lịch để làm đường; ‘cuộc chơi&amp;apos; mới của nhà ở Hà Nội,"Bất động sản tuần qua nổi bật với tin tức về việc phát triển khu đô thị đa mục tiêu ở Hà Nội; Bên trong khu tái định cư 3.790 căn hộ ở Thủ Thiêm bị bỏ hoang suốt một thập kỷ; ‘Cắt góc’ cao ốc sát sông Tô Lịch để làm đường Vành đai 2,5.","",https://vietnamnet.vn/cat-goc-cao-oc-sat-song-to-lich-de-lam-duong-cuoc-choi-moi-cua-nha-o-ha-noi-2521058.html
05/31/2026 05:45,vietnamnet.vn,bat-dong-san,"Đặt cọc mua nhà gần 5 tỷ, người phụ nữ ở TPHCM mới phát hiện nhà xây sai phép","Sau khi đặt cọc 150 triệu đồng để mua căn nhà gần 5 tỷ đồng tại TPHCM, người phụ nữ phát hiện căn nhà xây dựng trái phép, không đúng giấy tờ. Giao dịch mua bán không tiếp tục được, việc đòi lại tiền cọc cũng không hề dễ dàng.","",https://vietnamnet.vn/dat-coc-mua-nha-gan-5-ty-nguoi-phu-nu-o-tphcm-moi-phat-hien-nha-xay-sai-phep-2512022.html
05/31/2026 05:45,vietnamnet.vn,bat-dong-san,"Qua một cây cầu tới quận 1, giá căn hộ khu này tăng chóng mặt","Chỉ cách quận 1 một dòng kênh, quận 4 từng là lựa chọn “giá mềm” cho người muốn sống gần trung tâm. Nhưng nay, giá căn hộ tại đây đã tăng vọt, nhiều dự án chạm ngưỡng 150 triệu đồng/m2, thậm chí ngang ngửa khu lõi TPHCM.","",https://vietnamnet.vn/qua-mot-cay-cau-toi-quan-1-gia-can-ho-khu-nay-tang-chong-mat-2520599.html
05/31/2026 05:53,vietnamnet.vn,oto-xe-may,Xe sang BMW cổ tại Việt Nam: Vẻ đẹp cổ điển đi cùng thời gian,"Tại thị trường Việt, BMW cổ luôn mang sức hút riêng với những người yêu cảm giác lái và cơ khí thuần túy. Từ những chiếc xe từng bị lãng quên đến hành trình phục dựng tiền tỷ, BMW cổ đang dần hồi sinh như những di sản chuyển động của ngành ô tô.","",https://vietnamnet.vn/o-to-bmw-co-tai-viet-nam-ve-dep-co-dien-di-cung-thoi-gian-2521097.html
05/31/2026 06:00,vnexpress.net,thoi-su,Những 'đất liền thu nhỏ' giữa Trường Sa,"Từ rạn đá khô cằn, Trường Sa ngày nay được phủ xanh bởi nhiều loại cây cối do người dân và bộ đội chăm sóc. Nhịp sống trên nhiều đảo giống như \"những đất liền thu nhỏ\" giữa biển khơi.","",https://vnexpress.net/nhung-dat-lien-thu-nho-giua-truong-sa-5080002.html
05/31/2026 05:00,vnexpress.net,thoi-su,"Đề xuất mở rộng vùng kiểm soát xe xăng, dầu ở TP HCM","Đơn vị tư vấn đề xuất triển khai vùng phát thải thấp trong toàn bộ khu vực bên trong Vành đai 2, thay vì chỉ áp dụng ở khu vực trung tâm TP HCM.","",https://vnexpress.net/de-xuat-mo-rong-vung-kiem-soat-xe-xang-dau-o-tp-hcm-5080036.html
05/31/2026 04:00,vnexpress.net,thoi-su,Di tích nhà Ngô Đình Cẩn vẫn hoang phế,"Được công nhận di tích quốc gia từ năm 1993, song di tích nhà Ngô Đình Cẩn ở phường An Cựu vẫn nằm trong cảnh hoang phế, nhiều hạng mục xuống cấp.","",https://vnexpress.net/di-tich-nha-ngo-dinh-can-van-hoang-phe-5079462.html
